state,population,blood_donations
Bulgaria,6838937,159782
Cyprus,1215584,78475
Denmark,5873420,291934
Ireland,4986526,127614
Estonia,1331796,51349
Austria,8951520,352000
Czech Republic,10712000,427000
Finland,5550000,185326
France,67970000,2421930
Germany,83800000,2400000
Greece,10800000,568000
Croatia,3888529,190935
Hungary,9800000,397000
Italy,59236213,3021143
Latvia,1866942,56200
Lithuania,2800000,101568
Slovakia,5447247,54247
Malta,442784,18000
Belgium,11690000,559000
Luxembourg,634730,22500
Netherlands,17475415,743884
Poland,38538447,1352885
Portugal,10300000,311000
Romania,19127774,387391
Slovenia,2101000,75638
Spain,47780000,1700000
Sweden,9800000,387757